clics_gsc,ruta,motivo
0,/pbcpplayer.asp?id=2396947,patrón sin regla
0,/pbcpplayer.asp?id=2330705,patrón sin regla
0,/pbcpplayer.asp?id=1694688,patrón sin regla
0,/pbcpplayer.asp?id=1694687,patrón sin regla
0,/pbcpplayer.asp?id=1694685,patrón sin regla
0,/pbcpplayer.asp?id=1694684,patrón sin regla
0,/otros-c106x2874854,sin familia
0,/novedades-c106x4333316,sin familia
0,/marcas,patrón sin regla
0,/fertena3fertena3fertena3fertena3fertena3fertena3-c6x42480475,sin familia
0,/fertena2fertena2fertena2fertena2fertena2fertena2-c6x42480474,sin familia
0,/fertena1fertena1fertena1fertena1fertena1fertena1-c6x42480470,sin familia
0,/accesorios-y-complementos-c106x3322269,sin familia
