Date,Clicks,Impressions,CTR,Position
2025-02-02,82,5643,1.45%,14.6
2025-02-03,121,6992,1.73%,13.7
2025-02-04,184,7651,2.4%,11
2025-02-05,179,7559,2.37%,10.7
2025-02-06,179,7634,2.34%,10.9
2025-02-07,145,6841,2.12%,11.2
2025-02-08,111,6474,1.71%,15.9
2025-02-09,98,5469,1.79%,14
2025-02-10,200,8190,2.44%,12.3
2025-02-11,201,7504,2.68%,10.7
2025-02-12,200,7748,2.58%,10.5
2025-02-13,161,6718,2.4%,12
2025-02-14,140,5414,2.59%,11.9
2025-02-15,98,5815,1.69%,16.3
2025-02-16,89,5162,1.72%,13.1
2025-02-17,147,7817,1.88%,13.1
2025-02-18,216,7686,2.81%,12.6
2025-02-19,192,9024,2.13%,16.3
2025-02-20,145,7455,1.95%,11.6
2025-02-21,134,7086,1.89%,11.7
2025-02-22,114,8832,1.29%,17.7
2025-02-23,97,6053,1.6%,12.9
2025-02-24,188,9012,2.09%,12.3
2025-02-25,215,8270,2.6%,11.1
2025-02-26,212,8123,2.61%,10.9
2025-02-27,159,7465,2.13%,11.6
2025-02-28,150,6903,2.17%,14
2025-03-01,98,5711,1.72%,15.4
2025-03-02,79,5243,1.51%,15.3
2025-03-03,202,8062,2.51%,12.6
2025-03-04,172,7045,2.44%,11.5
2025-03-05,169,7167,2.36%,11.9
2025-03-06,156,6665,2.34%,12.4
2025-03-07,159,6404,2.48%,12.4
2025-03-08,93,6089,1.53%,18.4
2025-03-09,87,5266,1.65%,16.3
2025-03-10,203,7705,2.63%,12.7
2025-03-11,183,6853,2.67%,11.8
2025-03-12,173,6792,2.55%,11.4
2025-03-13,153,6736,2.27%,13
2025-03-14,116,5772,2.01%,12.5
2025-03-15,76,5750,1.32%,16.8
2025-03-16,57,4691,1.22%,15.7
2025-03-17,93,5286,1.76%,13.8
2025-03-18,172,8530,2.02%,16.9
2025-03-19,171,6700,2.55%,11.8
2025-03-20,185,7105,2.6%,12.5
2025-03-21,126,6235,2.02%,12.8
2025-03-22,97,5963,1.63%,16.4
2025-03-23,77,5152,1.49%,15.7
2025-03-24,172,7348,2.34%,12.3
2025-03-25,183,9064,2.02%,15.5
2025-03-26,177,7782,2.27%,13.3
2025-03-27,168,7099,2.37%,12.4
2025-03-28,126,6217,2.03%,12.8
2025-03-29,78,5886,1.33%,17.3
2025-03-30,83,4916,1.69%,14.2
2025-03-31,145,7009,2.07%,11.7
2025-04-01,155,7024,2.21%,12.5
2025-04-02,174,7316,2.38%,12.4
2025-04-03,149,6522,2.28%,11.7
2025-04-04,153,6118,2.5%,11.9
2025-04-05,82,5734,1.43%,15.2
2025-04-06,77,4784,1.61%,14.3
2025-04-07,154,6936,2.22%,11.4
2025-04-08,175,7449,2.35%,12.9
