Top queries,Clicks,Impressions,CTR,Position
homea,3113,16327,19.07%,3.92
refrigerador panelable,965,15680,6.15%,4.44
homea queretaro,239,890,26.85%,1.99
refrigeradores panelables,187,1980,9.44%,3.34
fpru19f8wf,183,2078,8.81%,4.4
ccwsz57l18dm,169,1782,9.48%,2.57
refrigerador sub-zero pro 48 precio,157,1843,8.52%,4.73
refrigerador sub-zero precio,153,2999,5.1%,3.94
lavavajillas panelable,148,5449,2.72%,6.04
whc18t521stwc,137,1930,7.1%,3.7
campana downdraft,100,2074,4.82%,3.16
pasto sintetico queretaro,97,6167,1.57%,9.41
refrigerador panelable whirlpool,95,985,9.64%,2.53
asador de gas empotrable,93,2363,3.94%,4.83
refrigerador counter depth,87,677,12.85%,1.77
cgu366p2ts1,82,1024,8.01%,3.55
refrigerador frigidaire,80,17334,0.46%,8.88
prf0173669,78,387,20.16%,1.76
refrigerador panelable mexico,76,559,13.6%,2.94
parrilla wolf precio,71,1393,5.1%,5.32
refrigerador sub zero precio,70,2470,2.83%,3.97
jx160,68,854,7.96%,2.87
ei33ar80ws,65,630,10.32%,3.46
estufa wolf,64,5149,1.24%,7.97
frigidaire refrigerador,63,13248,0.48%,8.52
gemelos electrolux,59,401,14.71%,1.39
refrigerador 80 cm ancho,53,3998,1.33%,2.19
asadores queretaro,53,639,8.29%,5.03
gemelos frigidaire,53,454,11.67%,4.24
estufa monogram precio,51,1770,2.88%,5.94
refrigerador empotrable,50,3801,1.32%,10.12
fpfu19f8wf,50,903,5.54%,4.92
arboles artificiales,47,3028,1.55%,8.13
estufas wolf precios,47,2143,2.19%,5.11
gempdf19ebtcds,47,614,7.65%,4.43
uvw93642pss,47,479,9.81%,3.61
zgu366ntss,46,860,5.35%,5.76
zir361nprii,46,615,7.48%,6.42
sauna,45,13969,0.32%,10.71
chimenea de leña para interior,45,2135,2.11%,6.52
estufa wolf precio,45,1799,2.5%,4.81
cafetera empotrable,44,4226,1.04%,8.69
refrigerador sub zero,43,8908,0.48%,9.64
ziss480dnss,42,607,6.92%,5.6
prf0192779,42,281,14.95%,2.37
estufas de cassette,41,373,10.99%,5.26
parrilla wolf,40,1838,2.18%,5.76
zgu486ndtss,40,447,8.95%,3.28
jacuzzi queretaro,39,1333,2.93%,7.71
prf0190023,39,151,25.83%,1.96
gemidf25eyrcfs,38,685,5.55%,5.79
electrolux refrigerador,36,5165,0.7%,9.14
campana telescopica,36,2922,1.23%,7.38
emc80130s0,36,444,8.11%,3.12
sauna queretaro,34,1479,2.3%,9.08
estufas profesionales,34,1141,2.98%,5.16
lkuix535pps,34,1047,3.25%,5.27
refrigerador viking precio,34,826,4.12%,1.48
swt-fltr-4,34,375,9.07%,5.09
jx7230slss,34,338,10.06%,5.01
arbol artificial,33,4712,0.7%,8.37
aire acondicionado queretaro,33,2910,1.13%,10.01
parrilla cafe,33,1577,2.09%,7.18
refrigerador subzero precio,33,1231,2.68%,4.45
refrigerador paneable,33,599,5.51%,4.2
gempdf21eyrcfs,33,357,9.24%,4.95
parrilla monogram precio,33,303,10.89%,1.76
chimeneas de leña para interiores,32,1525,2.1%,7.17
asadores de gas empotrables,32,565,5.66%,4.3
refrigerador electrolux,31,6267,0.49%,8.41
enfriador de bebidas,31,4165,0.74%,11.05
ksg9p4x,31,1523,2.04%,3.75
estufa de cassette,31,819,3.79%,2.6
prf0097796a,31,262,11.83%,2.9
7mmvwb855ec,31,225,13.78%,1.52
estufa profesional,30,2209,1.36%,7.81
campana cilindrica,30,908,3.3%,4.99
cm7648piw0,30,796,3.77%,6.91
ei33af80ws,30,529,5.67%,4.72
gaggenau precios,30,493,6.09%,5.74
que minisplit comprar,30,236,12.71%,1.52
